p-number,location,unit,registration_number,unit_2,location_2,parking_number,location_3,floor,rooms_description,levels,shops,flats,offices,age,location_4,municipality_number,building,building_2,building_3
53061545,Wadi Al Safa 5,2406-,LA QUINTA-P13_030,,,,,,,,,,,,400.0,,,La Quinta,Commercial
53061547,Wadi Al Safa 5,2407-,LA QUINTA-P13_031,,,,,,,,,,,,329.62,,,La Quinta,Commercial
53061549,Wadi Al Safa 5,2408-,LA QUINTA-P13_032,,,,,,,,,,,,325.0,,,La Quinta,Commercial
53061551,Wadi Al Safa 5,2409-,LA QUINTA-P13_033,,,,,,,,,,,,450.0,,,La Quinta,Commercial
53061553,Wadi Al Safa 5,2410-,LA QUINTA-P13_034,,,,,,,,,,,,450.0,,,La Quinta,Commercial
53061555,Wadi Al Safa 5,2411-,LA QUINTA-P13_035,,,,,,,,,,,,450.0,,,La Quinta,Commercial
53061557,Wadi Al Safa 5,2412-,LA QUINTA-P13_036,,,,,,,,,,,,450.0,,,La Quinta,Commercial
53061559,Wadi Al Safa 5,2413-,LA QUINTA-P13_037,,,,,,,,,,,,450.0,,,La Quinta,Commercial
53061561,Wadi Al Safa 5,2414-,LA QUINTA-P13_038,,,,,,,,,,,,582.1,,,La Quinta,Commercial
53061563,Wadi Al Safa 5,2415-,LA QUINTA-P13_039,,,,,,,,,,,,450.0,,,La Quinta,Commercial
53061565,Wadi Al Safa 5,2416-,LA QUINTA-P13_040,,,,,,,,,,,,400.0,,,La Quinta,Commercial
53061567,Wadi Al Safa 5,2417-,LA QUINTA-P13_041,,,,,,,,,,,,450.0,,,La Quinta,Commercial
53061569,Wadi Al Safa 5,2418-,LA QUINTA-P13_042,,,,,,,,,,,,400.0,,,La Quinta,Commercial
53061571,Wadi Al Safa 5,2419-,LA QUINTA-P13_043,,,,,,,,,,,,325.0,,,La Quinta,Commercial
53061573,Wadi Al Safa 5,2420-,LA QUINTA-P13_044,,,,,,,,,,,,325.0,,,La Quinta,Commercial
53061575,Wadi Al Safa 5,2421-,LA QUINTA-P13_045,,,,,,,,,,,,325.0,,,La Quinta,Commercial
53061577,Wadi Al Safa 5,2422-,LA QUINTA-P13_046,,,,,,,,,,,,478.76,,,La Quinta,Commercial
53061579,Wadi Al Safa 5,2423-,LA QUINTA-P13_047,,,,,,,,,,,,537.0,,,La Quinta,Commercial
53061581,Wadi Al Safa 5,2424-,LA QUINTA-P13_048,,,,,,,,,,,,325.42,,,La Quinta,Commercial
53061583,Wadi Al Safa 5,2425-,LA QUINTA-P13_049,,,,,,,,,,,,325.0,,,La Quinta,Commercial
53061585,Wadi Al Safa 5,2426-,LA QUINTA-P13_050,,,,,,,,,,,,400.0,,,La Quinta,Commercial
53061587,Wadi Al Safa 5,2427-,LA QUINTA-P13_051,,,,,,,,,,,,325.0,,,La Quinta,Commercial
53061589,Wadi Al Safa 5,2428-,LA QUINTA-P13_052,,,,,,,,,,,,325.0,,,La Quinta,Commercial
53061591,Wadi Al Safa 5,2429-,LA QUINTA-P13_053,,,,,,,,,,,,400.0,,,La Quinta,Commercial
53061593,Wadi Al Safa 5,2430-,LA QUINTA-P13_054,,,,,,,,,,,,450.0,,,La Quinta,Commercial
53061595,Wadi Al Safa 5,2431-,LA QUINTA-P13_055,,,,,,,,,,,,582.3,,,La Quinta,Commercial
53061597,Wadi Al Safa 5,2432-,LA QUINTA-P13_056,,,,,,,,,,,,581.91,,,La Quinta,Commercial
53061599,Wadi Al Safa 5,2433-,LA QUINTA-P13_057,,,,,,,,,,,,494.73,,,La Quinta,Commercial
53077170,Wadi Al Safa 5,2434-,LA QUINTA-P12_100,,,,,,,,,,,,450.0,,,La Quinta,Commercial
53077172,Wadi Al Safa 5,2435-,LA QUINTA-P12_101,,,,,,,,,,,,569.27,,,La Quinta,Commercial
53077174,Wadi Al Safa 5,2436-,LA QUINTA-P12_102,,,,,,,,,,,,450.0,,,La Quinta,Commercial
53077176,Wadi Al Safa 5,2437-,LA QUINTA-P12_103,,,,,,,,,,,,450.0,,,La Quinta,Commercial
53077178,Wadi Al Safa 5,2438-,LA QUINTA-P12_104,,,,,,,,,,,,450.0,,,La Quinta,Commercial
53077180,Wadi Al Safa 5,2439-,LA QUINTA-P12_105,,,,,,,,,,,,450.0,,,La Quinta,Commercial
53077084,Wadi Al Safa 5,2440-,LA QUINTA-P12_106,,,,,,,,,,,,528.81,,,La Quinta,Commercial
53077086,Wadi Al Safa 5,2441-,LA QUINTA-P12_107,,,,,,,,,,,,449.73,,,La Quinta,Commercial
53077088,Wadi Al Safa 5,2442-,LA QUINTA-P12_108,,,,,,,,,,,,450.0,,,La Quinta,Commercial
53077090,Wadi Al Safa 5,2443-,LA QUINTA-P12_109,,,,,,,,,,,,450.0,,,La Quinta,Commercial
53077092,Wadi Al Safa 5,2444-,LA QUINTA-P12_110,,,,,,,,,,,,450.0,,,La Quinta,Commercial
53077094,Wadi Al Safa 5,2445-,LA QUINTA-P12_111,,,,,,,,,,,,450.0,,,La Quinta,Commercial
53077096,Wadi Al Safa 5,2446-,LA QUINTA-P12_112,,,,,,,,,,,,450.0,,,La Quinta,Commercial
53077098,Wadi Al Safa 5,2447-,LA QUINTA-P12_113,,,,,,,,,,,,450.0,,,La Quinta,Commercial
53077100,Wadi Al Safa 5,2448-,LA QUINTA-P12_114,,,,,,,,,,,,450.0,,,La Quinta,Commercial
53077102,Wadi Al Safa 5,2449-,LA QUINTA-P12_115,,,,,,,,,,,,450.0,,,La Quinta,Commercial
53077104,Wadi Al Safa 5,2450-,LA QUINTA-P12_116,,,,,,,,,,,,450.0,,,La Quinta,Commercial
53077106,Wadi Al Safa 5,2451-,LA QUINTA-P12_117,,,,,,,,,,,,551.97,,,La Quinta,Commercial
53077108,Wadi Al Safa 5,2452-,LA QUINTA-P12_118,,,,,,,,,,,,526.44,,,La Quinta,Commercial
53077110,Wadi Al Safa 5,2453-,LA QUINTA-P12_119,,,,,,,,,,,,450.0,,,La Quinta,Commercial
53077112,Wadi Al Safa 5,2454-,LA QUINTA-P12_120,,,,,,,,,,,,450.0,,,La Quinta,Commercial
53077114,Wadi Al Safa 5,2455-,LA QUINTA-P12_121,,,,,,,,,,,,450.0,,,La Quinta,Commercial
53077116,Wadi Al Safa 5,2456-,LA QUINTA-P12_122,,,,,,,,,,,,450.0,,,La Quinta,Commercial
53077118,Wadi Al Safa 5,2457-,LA QUINTA-P12_123,,,,,,,,,,,,450.0,,,La Quinta,Commercial
53077120,Wadi Al Safa 5,2458-,LA QUINTA-P12_124,,,,,,,,,,,,450.0,,,La Quinta,Commercial
53077122,Wadi Al Safa 5,2459-,LA QUINTA-P12_125,,,,,,,,,,,,450.0,,,La Quinta,Commercial
53077124,Wadi Al Safa 5,2460-,LA QUINTA-P12_126,,,,,,,,,,,,450.0,,,La Quinta,Commercial
53077126,Wadi Al Safa 5,2461-,LA QUINTA-P12_127,,,,,,,,,,,,687.99,,,La Quinta,Commercial
53077128,Wadi Al Safa 5,2462-,LA QUINTA-P12_128,,,,,,,,,,,,452.49,,,La Quinta,Commercial
53077130,Wadi Al Safa 5,2463-,LA QUINTA-P12_129,,,,,,,,,,,,406.3,,,La Quinta,Commercial
53077132,Wadi Al Safa 5,2464-,LA QUINTA-P12_130,,,,,,,,,,,,335.85,,,La Quinta,Commercial
53077134,Wadi Al Safa 5,2465-,LA QUINTA-P12_131,,,,,,,,,,,,340.99,,,La Quinta,Commercial
53077136,Wadi Al Safa 5,2466-,LA QUINTA-P12_132,,,,,,,,,,,,426.73,,,La Quinta,Commercial
53077138,Wadi Al Safa 5,2467-,LA QUINTA-P12_133,,,,,,,,,,,,352.45,,,La Quinta,Commercial
53077140,Wadi Al Safa 5,2468-,LA QUINTA-P12_134,,,,,,,,,,,,440.84,,,La Quinta,Commercial
53077142,Wadi Al Safa 5,2469-,LA QUINTA-P12_135,,,,,,,,,,,,561.59,,,La Quinta,Commercial
53077144,Wadi Al Safa 5,2470-,LA QUINTA-P12_136,,,,,,,,,,,,614.16,,,La Quinta,Commercial
53077146,Wadi Al Safa 5,2471-,LA QUINTA-P12_137,,,,,,,,,,,,440.19,,,La Quinta,Commercial
53077148,Wadi Al Safa 5,2472-,LA QUINTA-P12_138,,,,,,,,,,,,357.43,,,La Quinta,Commercial
53077150,Wadi Al Safa 5,2473-,LA QUINTA-P12_139,,,,,,,,,,,,346.21,,,La Quinta,Commercial
53077152,Wadi Al Safa 5,2474-,LA QUINTA-P12_140,,,,,,,,,,,,340.84,,,La Quinta,Commercial
53077154,Wadi Al Safa 5,2475-,LA QUINTA-P12_141,,,,,,,,,,,,412.12,,,La Quinta,Commercial
53077156,Wadi Al Safa 5,2476-,LA QUINTA-P12_142,,,,,,,,,,,,328.86,,,La Quinta,Commercial
53077158,Wadi Al Safa 5,2477-,LA QUINTA-P12_143,,,,,,,,,,,,421.64,,,La Quinta,Commercial
53077160,Wadi Al Safa 5,2478-,LA QUINTA-P12_144,,,,,,,,,,,,400.0,,,La Quinta,Commercial
53077162,Wadi Al Safa 5,2479-,LA QUINTA-P12_145,,,,,,,,,,,,325.0,,,La Quinta,Commercial
53077164,Wadi Al Safa 5,2480-,LA QUINTA-P12_146,,,,,,,,,,,,400.0,,,La Quinta,Commercial
53077166,Wadi Al Safa 5,2481-,LA QUINTA-P12_147,,,,,,,,,,,,400.0,,,La Quinta,Commercial
53077168,Wadi Al Safa 5,2482-,LA QUINTA-P12_148,,,,,,,,,,,,325.0,,,La Quinta,Commercial
53083104,Wadi Al Safa 5,2483-,LA QUINTA-P12_149,,,,,,,,,,,,492.66,,,La Quinta,Commercial
53083106,Wadi Al Safa 5,2484-,LA QUINTA-P12_150,,,,,,,,,,,,566.47,,,La Quinta,Commercial
53083108,Wadi Al Safa 5,2485-,LA QUINTA-P12_151,,,,,,,,,,,,450.0,,,La Quinta,Commercial
53083110,Wadi Al Safa 5,2486-,LA QUINTA-P12_152,,,,,,,,,,,,450.0,,,La Quinta,Commercial
53083112,Wadi Al Safa 5,2487-,LA QUINTA-P12_153,,,,,,,,,,,,450.0,,,La Quinta,Commercial
53083114,Wadi Al Safa 5,2488-,LA QUINTA-P12_154,,,,,,,,,,,,397.25,,,La Quinta,Commercial
53083116,Wadi Al Safa 5,2489-,LA QUINTA-P12_155,,,,,,,,,,,,427.37,,,La Quinta,Commercial
53083118,Wadi Al Safa 5,2490-,LA QUINTA-P12_156,,,,,,,,,,,,547.92,,,La Quinta,Commercial
53083120,Wadi Al Safa 5,2491-,LA QUINTA-P12_157,,,,,,,,,,,,446.17,,,La Quinta,Commercial
53083122,Wadi Al Safa 5,2492-,LA QUINTA-P12_158,,,,,,,,,,,,554.19,,,La Quinta,Commercial
53083124,Wadi Al Safa 5,2493-,LA QUINTA-P12_159,,,,,,,,,,,,400.0,,,La Quinta,Commercial
53083126,Wadi Al Safa 5,2494-,LA QUINTA-P12_160,,,,,,,,,,,,564.81,,,La Quinta,Commercial
53083128,Wadi Al Safa 5,2495-,LA QUINTA-P12_161,,,,,,,,,,,,462.44,,,La Quinta,Commercial
53083130,Wadi Al Safa 5,2496-,LA QUINTA-P12_162,,,,,,,,,,,,537.28,,,La Quinta,Commercial
53083132,Wadi Al Safa 5,2497-,LA QUINTA-P12_163,,,,,,,,,,,,400.0,,,La Quinta,Commercial
53083134,Wadi Al Safa 5,2498-,LA QUINTA-P12_164,,,,,,,,,,,,571.64,,,La Quinta,Commercial
53083136,Wadi Al Safa 5,2499-,LA QUINTA-P12_165,,,,,,,,,,,,449.97,,,La Quinta,Commercial
53083138,Wadi Al Safa 5,2500-,LA QUINTA-P12_166,,,,,,,,,,,,449.77,,,La Quinta,Commercial
53083140,Wadi Al Safa 5,2501-,LA QUINTA-P12_167,,,,,,,,,,,,505.15,,,La Quinta,Commercial
53083142,Wadi Al Safa 5,2502-,LA QUINTA-P12_168,,,,,,,,,,,,400.0,,,La Quinta,Commercial
53083144,Wadi Al Safa 5,2503-,LA QUINTA-P12_169,,,,,,,,,,,,325.0,,,La Quinta,Commercial
53083146,Wadi Al Safa 5,2504-,LA QUINTA-P12_170,,,,,,,,,,,,325.0,,,La Quinta,Commercial
53083148,Wadi Al Safa 5,2505-,LA QUINTA-P12_171,,,,,,,,,,,,400.0,,,La Quinta,Commercial
53083150,Wadi Al Safa 5,2506-,LA QUINTA-P12_172,,,,,,,,,,,,325.0,,,La Quinta,Commercial
53083152,Wadi Al Safa 5,2507-,LA QUINTA-P12_173,,,,,,,,,,,,325.0,,,La Quinta,Commercial
53083154,Wadi Al Safa 5,2508-,LA QUINTA-P12_174,,,,,,,,,,,,400.0,,,La Quinta,Commercial
53083156,Wadi Al Safa 5,2509-,LA QUINTA-P12_175,,,,,,,,,,,,400.0,,,La Quinta,Commercial
