p-number,location,unit,name,registration_number,unit_2,location_2,parking_number,location_3,floor,rooms_description,levels,shops,flats,offices,age,location_4,municipality_number,building,building_2,building_3
139699350,Madinat Al Mataar,493-,Parklane Residence 2,,312,3.39,1,0.05,3,Studio,,,,,,34.71,,Dubai World Central,Parklane Residence,Government Authorities
139699444,Madinat Al Mataar,493-,Parklane Residence 2,,313,3.35,1,0.06,3,Studio,,,,,,35.84,,Dubai World Central,Parklane Residence,Government Authorities
139699538,Madinat Al Mataar,493-,Parklane Residence 2,,314,5.67,1,0.15,3,2 B/R,,,,,,98.83,,Dubai World Central,Parklane Residence,Government Authorities
139699632,Madinat Al Mataar,493-,Parklane Residence 2,,315,5.82,1,0.1,3,1 B/R,,,,,,62.58,,Dubai World Central,Parklane Residence,Government Authorities
139699726,Madinat Al Mataar,493-,Parklane Residence 2,,316,11.22,1,0.16,3,2 B/R,,,,,,101.67,,Dubai World Central,Parklane Residence,Government Authorities
139711852,Madinat Al Mataar,493-,Parklane Residence 2,,1206,5.67,1,0.15,12,2 B/R,,,,,,98.83,,Dubai World Central,Parklane Residence,Government Authorities
139711946,Madinat Al Mataar,493-,Parklane Residence 2,,1207,11.22,1,0.16,12,2 B/R,,,,,,101.96,,Dubai World Central,Parklane Residence,Government Authorities
139712040,Madinat Al Mataar,493-,Parklane Residence 2,,1208,11.22,1,0.16,12,2 B/R,,,,,,101.96,,Dubai World Central,Parklane Residence,Government Authorities
139712134,Madinat Al Mataar,493-,Parklane Residence 2,,1209,5.85,1,0.15,12,2 B/R,,,,,,97.34,,Dubai World Central,Parklane Residence,Government Authorities
139712228,Madinat Al Mataar,493-,Parklane Residence 2,,1210,6.15,1,0.1,12,1 B/R,,,,,,62.12,,Dubai World Central,Parklane Residence,Government Authorities
139712322,Madinat Al Mataar,493-,Parklane Residence 2,,1211,6.15,1,0.1,12,1 B/R,,,,,,61.91,,Dubai World Central,Parklane Residence,Government Authorities
139712416,Madinat Al Mataar,493-,Parklane Residence 2,,1212,3.23,1,0.05,12,Studio,,,,,,35.07,,Dubai World Central,Parklane Residence,Government Authorities
