p-number,location,unit,name,registration_number,unit_2,location_2,parking_number,location_3,floor,rooms_description,levels,shops,flats,offices,age,location_4,municipality_number,building,building_2,building_3
33411179,Wadi Al Safa 7,2807-,RUKAN BUILDING 5,,406,8.19,1,0.12,4,,,,,,,43.46,,,RUKAN,
33411183,Wadi Al Safa 7,2807-,RUKAN BUILDING 5,,407,9.56,1,0.2,4,1 B/R,,,,,,74.26,,,RUKAN,
33411187,Wadi Al Safa 7,2807-,RUKAN BUILDING 5,,408,13.05,1,0.3,4,2 B/R,,,,,,110.78,,,RUKAN,
33411191,Wadi Al Safa 7,2807-,RUKAN BUILDING 5,,409,2.74,1,0.2,4,1 B/R,,,,,,73.98,,,RUKAN,
33411195,Wadi Al Safa 7,2807-,RUKAN BUILDING 5,,410,9.56,1,0.19,4,1 B/R,,,,,,69.7,,,RUKAN,
33411199,Wadi Al Safa 7,2807-,RUKAN BUILDING 5,,411,9.56,1,0.19,4,1 B/R,,,,,,69.7,,,RUKAN,
33411203,Wadi Al Safa 7,2807-,RUKAN BUILDING 5,,412,4.64,1,0.16,4,1 B/R,,,,,,61.1,,,RUKAN,
33411207,Wadi Al Safa 7,2807-,RUKAN BUILDING 5,,413,4.64,1,0.16,4,1 B/R,,,,,,61.14,,,RUKAN,
33411211,Wadi Al Safa 7,2807-,RUKAN BUILDING 5,,414,9.56,1,0.19,4,1 B/R,,,,,,69.7,,,RUKAN,
33411215,Wadi Al Safa 7,2807-,RUKAN BUILDING 5,,415,9.56,1,0.19,4,1 B/R,,,,,,69.7,,,RUKAN,
33411219,Wadi Al Safa 7,2807-,RUKAN BUILDING 5,,501,2.74,1,0.2,5,1 B/R,,,,,,73.98,,,RUKAN,
33411223,Wadi Al Safa 7,2807-,RUKAN BUILDING 5,,502,13.05,1,0.3,5,2 B/R,,,,,,110.78,,,RUKAN,
33411227,Wadi Al Safa 7,2807-,RUKAN BUILDING 5,,503,9.56,1,0.2,5,1 B/R,,,,,,74.26,,,RUKAN,
33411231,Wadi Al Safa 7,2807-,RUKAN BUILDING 5,,504,8.19,1,0.12,5,,,,,,,43.46,,,RUKAN,
33411235,Wadi Al Safa 7,2807-,RUKAN BUILDING 5,,505,12.59,1,0.2,5,1 B/R,,,,,,76.37,,,RUKAN,
33411239,Wadi Al Safa 7,2807-,RUKAN BUILDING 5,,506,8.19,1,0.12,5,,,,,,,43.46,,,RUKAN,
33411243,Wadi Al Safa 7,2807-,RUKAN BUILDING 5,,507,9.56,1,0.2,5,1 B/R,,,,,,74.26,,,RUKAN,
33411247,Wadi Al Safa 7,2807-,RUKAN BUILDING 5,,508,13.05,1,0.3,5,2 B/R,,,,,,110.78,,,RUKAN,
33411251,Wadi Al Safa 7,2807-,RUKAN BUILDING 5,,509,2.74,1,0.2,5,1 B/R,,,,,,73.98,,,RUKAN,
33411263,Wadi Al Safa 7,2807-,RUKAN BUILDING 5,,512,4.64,1,0.16,5,1 B/R,,,,,,61.1,,,RUKAN,
33410718,Wadi Al Safa 7,2807-,RUKAN BUILDING 4,,403,9.56,1,0.2,4,1 B/R,,,,,,74.26,,,RUKAN,
33410722,Wadi Al Safa 7,2807-,RUKAN BUILDING 4,,404,8.19,1,0.12,4,,,,,,,43.46,,,RUKAN,
33410726,Wadi Al Safa 7,2807-,RUKAN BUILDING 4,,405,12.59,1,0.2,4,1 B/R,,,,,,76.37,,,RUKAN,
33410730,Wadi Al Safa 7,2807-,RUKAN BUILDING 4,,406,8.19,1,0.12,4,,,,,,,43.46,,,RUKAN,
33410734,Wadi Al Safa 7,2807-,RUKAN BUILDING 4,,407,9.56,1,0.2,4,1 B/R,,,,,,74.26,,,RUKAN,
33410738,Wadi Al Safa 7,2807-,RUKAN BUILDING 4,,408,13.05,1,0.3,4,2 B/R,,,,,,110.78,,,RUKAN,
33410742,Wadi Al Safa 7,2807-,RUKAN BUILDING 4,,409,2.74,1,0.2,4,1 B/R,,,,,,73.98,,,RUKAN,
33410746,Wadi Al Safa 7,2807-,RUKAN BUILDING 4,,410,9.56,1,0.19,4,1 B/R,,,,,,69.7,,,RUKAN,
33410750,Wadi Al Safa 7,2807-,RUKAN BUILDING 4,,411,9.56,1,0.19,4,1 B/R,,,,,,69.7,,,RUKAN,
33410754,Wadi Al Safa 7,2807-,RUKAN BUILDING 4,,412,4.64,1,0.16,4,1 B/R,,,,,,61.1,,,RUKAN,
33410758,Wadi Al Safa 7,2807-,RUKAN BUILDING 4,,413,4.64,1,0.16,4,1 B/R,,,,,,61.14,,,RUKAN,
33410762,Wadi Al Safa 7,2807-,RUKAN BUILDING 4,,414,9.56,1,0.19,4,1 B/R,,,,,,69.7,,,RUKAN,
33410766,Wadi Al Safa 7,2807-,RUKAN BUILDING 4,,415,9.56,1,0.19,4,1 B/R,,,,,,69.7,,,RUKAN,
33410770,Wadi Al Safa 7,2807-,RUKAN BUILDING 4,,501,2.74,1,0.2,5,1 B/R,,,,,,73.98,,,RUKAN,
33410774,Wadi Al Safa 7,2807-,RUKAN BUILDING 4,,502,13.05,1,0.3,5,2 B/R,,,,,,110.78,,,RUKAN,
33411327,Wadi Al Safa 7,2807-,RUKAN BUILDING 5,,613,4.64,1,0.16,6,1 B/R,,,,,,61.14,,,RUKAN,
33411331,Wadi Al Safa 7,2807-,RUKAN BUILDING 5,,614,9.56,1,0.19,6,1 B/R,,,,,,69.7,,,RUKAN,
33411335,Wadi Al Safa 7,2807-,RUKAN BUILDING 5,,615,9.56,1,0.19,6,1 B/R,,,,,,69.7,,,RUKAN,
33410790,Wadi Al Safa 7,2807-,RUKAN BUILDING 4,,506,8.19,1,0.12,5,,,,,,,43.46,,,RUKAN,
33410794,Wadi Al Safa 7,2807-,RUKAN BUILDING 4,,507,9.56,1,0.2,5,1 B/R,,,,,,74.26,,,RUKAN,
33410798,Wadi Al Safa 7,2807-,RUKAN BUILDING 4,,508,13.05,1,0.3,5,2 B/R,,,,,,110.78,,,RUKAN,
33410802,Wadi Al Safa 7,2807-,RUKAN BUILDING 4,,509,2.74,1,0.2,5,1 B/R,,,,,,73.98,,,RUKAN,
33410806,Wadi Al Safa 7,2807-,RUKAN BUILDING 4,,510,9.56,1,0.19,5,1 B/R,,,,,,69.7,,,RUKAN,
33410810,Wadi Al Safa 7,2807-,RUKAN BUILDING 4,,511,9.56,1,0.19,5,1 B/R,,,,,,69.7,,,RUKAN,
33410814,Wadi Al Safa 7,2807-,RUKAN BUILDING 4,,512,4.64,1,0.16,5,1 B/R,,,,,,61.1,,,RUKAN,
33410818,Wadi Al Safa 7,2807-,RUKAN BUILDING 4,,513,4.64,1,0.16,5,1 B/R,,,,,,61.14,,,RUKAN,
33410822,Wadi Al Safa 7,2807-,RUKAN BUILDING 4,,514,9.56,1,0.19,5,1 B/R,,,,,,69.7,,,RUKAN,
33410826,Wadi Al Safa 7,2807-,RUKAN BUILDING 4,,515,9.56,1,0.19,5,1 B/R,,,,,,69.7,,,RUKAN,
33410830,Wadi Al Safa 7,2807-,RUKAN BUILDING 4,,601,2.74,1,0.2,6,1 B/R,,,,,,73.98,,,RUKAN,
33410834,Wadi Al Safa 7,2807-,RUKAN BUILDING 4,,602,13.05,1,0.3,6,2 B/R,,,,,,110.78,,,RUKAN,
33410838,Wadi Al Safa 7,2807-,RUKAN BUILDING 4,,603,9.56,1,0.2,6,1 B/R,,,,,,74.26,,,RUKAN,
33410842,Wadi Al Safa 7,2807-,RUKAN BUILDING 4,,604,8.19,1,0.12,6,,,,,,,43.46,,,RUKAN,
33410846,Wadi Al Safa 7,2807-,RUKAN BUILDING 4,,605,12.59,1,0.2,6,1 B/R,,,,,,76.37,,,RUKAN,
33411083,Wadi Al Safa 7,2807-,RUKAN BUILDING 5,,212,4.64,1,0.16,2,1 B/R,,,,,,61.1,,,RUKAN,
33411087,Wadi Al Safa 7,2807-,RUKAN BUILDING 5,,213,4.64,1,0.16,2,1 B/R,,,,,,61.14,,,RUKAN,
33411091,Wadi Al Safa 7,2807-,RUKAN BUILDING 5,,214,9.56,1,0.19,2,1 B/R,,,,,,69.7,,,RUKAN,
33411095,Wadi Al Safa 7,2807-,RUKAN BUILDING 5,,215,9.56,1,0.19,2,1 B/R,,,,,,69.7,,,RUKAN,
33411099,Wadi Al Safa 7,2807-,RUKAN BUILDING 5,,301,2.74,1,0.2,3,1 B/R,,,,,,73.98,,,RUKAN,
33411103,Wadi Al Safa 7,2807-,RUKAN BUILDING 5,,302,13.05,1,0.3,3,2 B/R,,,,,,110.78,,,RUKAN,
33411107,Wadi Al Safa 7,2807-,RUKAN BUILDING 5,,303,9.56,1,0.2,3,1 B/R,,,,,,74.26,,,RUKAN,
33411111,Wadi Al Safa 7,2807-,RUKAN BUILDING 5,,304,8.19,1,0.12,3,,,,,,,43.46,,,RUKAN,
33411115,Wadi Al Safa 7,2807-,RUKAN BUILDING 5,,305,12.59,1,0.2,3,1 B/R,,,,,,76.37,,,RUKAN,
33411119,Wadi Al Safa 7,2807-,RUKAN BUILDING 5,,306,8.19,1,0.12,3,,,,,,,43.46,,,RUKAN,
33411123,Wadi Al Safa 7,2807-,RUKAN BUILDING 5,,307,9.56,1,0.2,3,1 B/R,,,,,,74.26,,,RUKAN,
33411127,Wadi Al Safa 7,2807-,RUKAN BUILDING 5,,308,13.05,1,0.3,3,2 B/R,,,,,,110.78,,,RUKAN,
33411131,Wadi Al Safa 7,2807-,RUKAN BUILDING 5,,309,2.74,1,0.2,3,1 B/R,,,,,,73.98,,,RUKAN,
33411135,Wadi Al Safa 7,2807-,RUKAN BUILDING 5,,310,9.56,1,0.19,3,1 B/R,,,,,,69.7,,,RUKAN,
33411139,Wadi Al Safa 7,2807-,RUKAN BUILDING 5,,311,9.56,1,0.19,3,1 B/R,,,,,,69.7,,,RUKAN,
33411267,Wadi Al Safa 7,2807-,RUKAN BUILDING 5,,513,4.64,1,0.16,5,1 B/R,,,,,,61.14,,,RUKAN,
33411271,Wadi Al Safa 7,2807-,RUKAN BUILDING 5,,514,9.56,1,0.19,5,1 B/R,,,,,,69.7,,,RUKAN,
33411275,Wadi Al Safa 7,2807-,RUKAN BUILDING 5,,515,9.56,1,0.19,5,1 B/R,,,,,,69.7,,,RUKAN,
33411279,Wadi Al Safa 7,2807-,RUKAN BUILDING 5,,601,2.74,1,0.2,6,1 B/R,,,,,,73.98,,,RUKAN,
33411283,Wadi Al Safa 7,2807-,RUKAN BUILDING 5,,602,13.05,1,0.3,6,2 B/R,,,,,,110.78,,,RUKAN,
33411287,Wadi Al Safa 7,2807-,RUKAN BUILDING 5,,603,9.56,1,0.2,6,1 B/R,,,,,,74.26,,,RUKAN,
33411291,Wadi Al Safa 7,2807-,RUKAN BUILDING 5,,604,8.19,1,0.12,6,,,,,,,43.46,,,RUKAN,
33411295,Wadi Al Safa 7,2807-,RUKAN BUILDING 5,,605,12.59,1,0.2,6,1 B/R,,,,,,76.37,,,RUKAN,
33411299,Wadi Al Safa 7,2807-,RUKAN BUILDING 5,,606,8.19,1,0.12,6,,,,,,,43.46,,,RUKAN,
33411303,Wadi Al Safa 7,2807-,RUKAN BUILDING 5,,607,9.56,1,0.2,6,1 B/R,,,,,,74.26,,,RUKAN,
33411307,Wadi Al Safa 7,2807-,RUKAN BUILDING 5,,608,13.05,1,0.3,6,2 B/R,,,,,,110.78,,,RUKAN,
33411311,Wadi Al Safa 7,2807-,RUKAN BUILDING 5,,609,2.74,1,0.2,6,1 B/R,,,,,,73.98,,,RUKAN,
33411315,Wadi Al Safa 7,2807-,RUKAN BUILDING 5,,610,9.56,1,0.19,6,1 B/R,,,,,,69.7,,,RUKAN,
33411319,Wadi Al Safa 7,2807-,RUKAN BUILDING 5,,611,9.56,1,0.19,6,1 B/R,,,,,,69.7,,,RUKAN,
33411323,Wadi Al Safa 7,2807-,RUKAN BUILDING 5,,612,4.64,1,0.16,6,1 B/R,,,,,,61.1,,,RUKAN,
33411011,Wadi Al Safa 7,2807-,RUKAN BUILDING 5,,109,2.74,1,0.2,1,1 B/R,,,,,,73.98,,,RUKAN,
33411015,Wadi Al Safa 7,2807-,RUKAN BUILDING 5,,110,9.56,1,0.19,1,1 B/R,,,,,,69.7,,,RUKAN,
33411019,Wadi Al Safa 7,2807-,RUKAN BUILDING 5,,111,9.56,1,0.19,1,1 B/R,,,,,,69.7,,,RUKAN,
