p-number,location,unit,name,registration_number,unit_2,location_2,parking_number,location_3,floor,rooms_description,levels,shops,flats,offices,age,location_4,municipality_number,building,building_2,building_3
51445158,Wadi Al Safa 5,3899-,,,,,,0.0,2.0,3 B/R,,,,,,182.25,6486490,,Villanova Amaranta ,Commercial
51445280,Wadi Al Safa 5,3899-,,,,,,0.0,2.0,3 B/R,,,,,,154.29,6486490,,Villanova Amaranta ,Commercial
51445402,Wadi Al Safa 5,3899-,,,,,,0.0,2.0,3 B/R,,,,,,185.57,6486490,,Villanova Amaranta ,Commercial
51445524,Wadi Al Safa 5,3899-,,,,,,0.0,2.0,3 B/R,,,,,,197.75,6486490,,Villanova Amaranta ,Commercial
185925974,Wadi Al Safa 5,3899-,,,,,,,,,,,,,,4294.07,6486490,,Villanova Amaranta ,Commercial
51445646,Wadi Al Safa 5,3899-,,,,,,0.0,2.0,2 B/R,,,,,,157.62,6486490,,Villanova Amaranta ,Commercial
51445768,Wadi Al Safa 5,3899-,,,,,,0.0,2.0,2 B/R,,,,,,157.62,6486490,,Villanova Amaranta ,Commercial
51445890,Wadi Al Safa 5,3899-,,,,,,0.0,2.0,3 B/R,,,,,,197.75,6486490,,Villanova Amaranta ,Commercial
51446012,Wadi Al Safa 5,3899-,,,,,,0.0,2.0,3 B/R,,,,,,185.57,6486490,,Villanova Amaranta ,Commercial
51446134,Wadi Al Safa 5,3899-,,,,,,0.0,2.0,3 B/R,,,,,,182.25,6486490,,Villanova Amaranta ,Commercial
51442352,Wadi Al Safa 5,3900-,,,,,,0.0,2.0,3 B/R,,,,,,154.29,6486491,,Villanova Amaranta ,Commercial
51444182,Wadi Al Safa 5,3900-,,,,,,0.0,2.0,3 B/R,,,,,,182.21,6486491,,Villanova Amaranta ,Commercial
51442596,Wadi Al Safa 5,3900-,,,,,,0.0,2.0,3 B/R,,,,,,197.75,6486491,,Villanova Amaranta ,Commercial
51442718,Wadi Al Safa 5,3900-,,,,,,0.0,2.0,2 B/R,,,,,,157.62,6486491,,Villanova Amaranta ,Commercial
51442840,Wadi Al Safa 5,3900-,,,,,,0.0,2.0,2 B/R,,,,,,157.62,6486491,,Villanova Amaranta ,Commercial
51442962,Wadi Al Safa 5,3900-,,,,,,0.0,2.0,3 B/R,,,,,,197.75,6486491,,Villanova Amaranta ,Commercial
51443084,Wadi Al Safa 5,3900-,,,,,,0.0,2.0,3 B/R,,,,,,185.57,6486491,,Villanova Amaranta ,Commercial
51443206,Wadi Al Safa 5,3900-,,,,,,0.0,2.0,3 B/R,,,,,,182.25,6486491,,Villanova Amaranta ,Commercial
51443328,Wadi Al Safa 5,3900-,,,,,,0.0,2.0,3 B/R,,,,,,153.33,6486491,,Villanova Amaranta ,Commercial
51443450,Wadi Al Safa 5,3900-,,,,,,0.0,2.0,3 B/R,,,,,,184.06,6486491,,Villanova Amaranta ,Commercial
51443572,Wadi Al Safa 5,3900-,,,,,,0.0,2.0,3 B/R,,,,,,196.79,6486491,,Villanova Amaranta ,Commercial
51443694,Wadi Al Safa 5,3900-,,,,,,0.0,2.0,2 B/R,,,,,,157.62,6486491,,Villanova Amaranta ,Commercial
51443816,Wadi Al Safa 5,3900-,,,,,,0.0,2.0,2 B/R,,,,,,157.62,6486491,,Villanova Amaranta ,Commercial
51443938,Wadi Al Safa 5,3900-,,,,,,0.0,2.0,3 B/R,,,,,,195.36,6486491,,Villanova Amaranta ,Commercial
51444060,Wadi Al Safa 5,3900-,,,,,,0.0,2.0,3 B/R,,,,,,184.14,6486491,,Villanova Amaranta ,Commercial
185925976,Wadi Al Safa 5,3900-,,,,,,,,,,,,,,4294.88,6486491,,Villanova Amaranta ,Commercial
51442474,Wadi Al Safa 5,3900-,,,,,,0.0,2.0,3 B/R,,,,,,185.57,6486491,,Villanova Amaranta ,Commercial
51438936,Wadi Al Safa 5,3901-,,,,,,0.0,2.0,2 B/R,,,,,,157.62,6486492,,Villanova Amaranta ,Commercial
51438448,Wadi Al Safa 5,3901-,,,,,,0.0,2.0,3 B/R,,,,,,154.29,6486492,,Villanova Amaranta ,Commercial
51438570,Wadi Al Safa 5,3901-,,,,,,0.0,2.0,3 B/R,,,,,,185.57,6486492,,Villanova Amaranta ,Commercial
51438692,Wadi Al Safa 5,3901-,,,,,,0.0,2.0,3 B/R,,,,,,197.75,6486492,,Villanova Amaranta ,Commercial
51441376,Wadi Al Safa 5,3901-,,,,,,0.0,2.0,3 B/R,,,,,,154.28,6486492,,Villanova Amaranta ,Commercial
51441498,Wadi Al Safa 5,3901-,,,,,,0.0,2.0,3 B/R,,,,,,185.57,6486492,,Villanova Amaranta ,Commercial
51441620,Wadi Al Safa 5,3901-,,,,,,0.0,2.0,3 B/R,,,,,,197.75,6486492,,Villanova Amaranta ,Commercial
51441742,Wadi Al Safa 5,3901-,,,,,,0.0,2.0,2 B/R,,,,,,157.62,6486492,,Villanova Amaranta ,Commercial
51441864,Wadi Al Safa 5,3901-,,,,,,0.0,2.0,2 B/R,,,,,,157.62,6486492,,Villanova Amaranta ,Commercial
51441986,Wadi Al Safa 5,3901-,,,,,,0.0,2.0,3 B/R,,,,,,197.75,6486492,,Villanova Amaranta ,Commercial
51442108,Wadi Al Safa 5,3901-,,,,,,0.0,2.0,3 B/R,,,,,,185.57,6486492,,Villanova Amaranta ,Commercial
51442230,Wadi Al Safa 5,3901-,,,,,,0.0,2.0,3 B/R,,,,,,182.25,6486492,,Villanova Amaranta ,Commercial
185925978,Wadi Al Safa 5,3901-,,,,,,,,,,,,,,8934.06,6486492,,Villanova Amaranta ,Commercial
51439058,Wadi Al Safa 5,3901-,,,,,,0.0,2.0,3 B/R,,,,,,197.75,6486492,,Villanova Amaranta ,Commercial
51439180,Wadi Al Safa 5,3901-,,,,,,0.0,2.0,3 B/R,,,,,,185.57,6486492,,Villanova Amaranta ,Commercial
