p-number,location,unit,name,registration_number,unit_2,location_2,parking_number,location_3,floor,rooms_description,levels,shops,flats,offices,age,location_4,municipality_number,building,building_2,building_3
6823640,Dubai Investment Park First,352-0,3215,,,,,,1,4 B/R,,,,,,970.76,5980174,Dubai Investment Park First,,Commercial
6823644,Dubai Investment Park First,352-0,3216,,,,,,1,4 B/R,,,,,,841.1,5980174,Dubai Investment Park First,,Commercial
6823648,Dubai Investment Park First,352-0,3218,,,,,,2,5 B/R,,,,,,1433.46,5980174,Dubai Investment Park First,,Commercial
6823652,Dubai Investment Park First,352-0,3219,,,,,,1,4 B/R,,,,,,866.55,5980174,Dubai Investment Park First,,Commercial
6823656,Dubai Investment Park First,352-0,3220,,,,,,2,5 B/R,,,,,,1509.13,5980174,Dubai Investment Park First,,Commercial
6824453,Dubai Investment Park First,352-0,4201,,,,,,2,4 B/R,,,,,,1022.51,5980174,Dubai Investment Park First,,Commercial
6824457,Dubai Investment Park First,352-0,4203,,,,,,2,4 B/R,,,,,,912.72,5980174,Dubai Investment Park First,,Commercial
6824461,Dubai Investment Park First,352-0,4301,,,,,,2,5 B/R,,,,,,1550.41,5980174,Dubai Investment Park First,,Commercial
6824465,Dubai Investment Park First,352-0,4302,,,,,,2,5 B/R,,,,,,1862.32,5980174,Dubai Investment Park First,,Commercial
6824469,Dubai Investment Park First,352-0,4303,,,,,,2,5 B/R,,,,,,1694.68,5980174,Dubai Investment Park First,,Commercial
6824473,Dubai Investment Park First,352-0,4304,,,,,,2,5 B/R,,,,,,1478.19,5980174,Dubai Investment Park First,,Commercial
6823684,Dubai Investment Park First,352-0,3228,,,,,,1,4 B/R,,,,,,951.62,5980174,Dubai Investment Park First,,Commercial
6823688,Dubai Investment Park First,352-0,3229,,,,,,1,4 B/R,,,,,,910.41,5980174,Dubai Investment Park First,,Commercial
6823692,Dubai Investment Park First,352-0,3230,,,,,,1,4 B/R,,,,,,933.83,5980174,Dubai Investment Park First,,Commercial
6823696,Dubai Investment Park First,352-0,3231,,,,,,1,4 B/R,,,,,,918.92,5980174,Dubai Investment Park First,,Commercial
6823700,Dubai Investment Park First,352-0,3232,,,,,,1,4 B/R,,,,,,989.95,5980174,Dubai Investment Park First,,Commercial
6823704,Dubai Investment Park First,352-0,3233,,,,,,1,4 B/R,,,,,,976.56,5980174,Dubai Investment Park First,,Commercial
6823196,Dubai Investment Park First,352-0,2520,,,,,,1,4 B/R,,,,,,975.38,5980174,Dubai Investment Park First,,Commercial
6823200,Dubai Investment Park First,352-0,2521,,,,,,1,4 B/R,,,,,,997.65,5980174,Dubai Investment Park First,,Commercial
6823204,Dubai Investment Park First,352-0,2522,,,,,,1,4 B/R,,,,,,1024.62,5980174,Dubai Investment Park First,,Commercial
6823208,Dubai Investment Park First,352-0,2602,,,,,,1,4 B/R,,,,,,882.19,5980174,Dubai Investment Park First,,Commercial
6823212,Dubai Investment Park First,352-0,2603,,,,,,1,4 B/R,,,,,,877.47,5980174,Dubai Investment Park First,,Commercial
6823216,Dubai Investment Park First,352-0,2604,,,,,,1,4 B/R,,,,,,840.12,5980174,Dubai Investment Park First,,Commercial
6823220,Dubai Investment Park First,352-0,2605,,,,,,1,4 B/R,,,,,,1009.28,5980174,Dubai Investment Park First,,Commercial
6823736,Dubai Investment Park First,352-0,3248,,,,,,2,4 B/R,,,,,,883.78,5980174,Dubai Investment Park First,,Commercial
6823740,Dubai Investment Park First,352-0,3249,,,,,,1,4 B/R,,,,,,929.43,5980174,Dubai Investment Park First,,Commercial
6823232,Dubai Investment Park First,352-0,2608,,,,,,1,4 B/R,,,,,,1005.59,5980174,Dubai Investment Park First,,Commercial
6823236,Dubai Investment Park First,352-0,2609,,,,,,1,4 B/R,,,,,,868.02,5980174,Dubai Investment Park First,,Commercial
6823240,Dubai Investment Park First,352-0,2610,,,,,,1,4 B/R,,,,,,999.79,5980174,Dubai Investment Park First,,Commercial
6823244,Dubai Investment Park First,352-0,2611,,,,,,1,4 B/R,,,,,,873.32,5980174,Dubai Investment Park First,,Commercial
6823248,Dubai Investment Park First,352-0,2612,,,,,,1,4 B/R,,,,,,999.79,5980174,Dubai Investment Park First,,Commercial
6823252,Dubai Investment Park First,352-0,2613,,,,,,1,4 B/R,,,,,,858.37,5980174,Dubai Investment Park First,,Commercial
6823256,Dubai Investment Park First,352-0,2614,,,,,,1,4 B/R,,,,,,999.79,5980174,Dubai Investment Park First,,Commercial
6823260,Dubai Investment Park First,352-0,2615,,,,,,1,4 B/R,,,,,,1018.99,5980174,Dubai Investment Park First,,Commercial
6823264,Dubai Investment Park First,352-0,2616,,,,,,1,4 B/R,,,,,,999.79,5980174,Dubai Investment Park First,,Commercial
6823268,Dubai Investment Park First,352-0,2617,,,,,,1,4 B/R,,,,,,905.28,5980174,Dubai Investment Park First,,Commercial
6823272,Dubai Investment Park First,352-0,2619,,,,,,1,4 B/R,,,,,,900.0,5980174,Dubai Investment Park First,,Commercial
6823276,Dubai Investment Park First,352-0,2620,,,,,,2,4 B/R,,,,,,875.0,5980174,Dubai Investment Park First,,Commercial
6823280,Dubai Investment Park First,352-0,2621,,,,,,1,4 B/R,,,,,,947.76,5980174,Dubai Investment Park First,,Commercial
6823284,Dubai Investment Park First,352-0,2622,,,,,,1,4 B/R,,,,,,980.0,5980174,Dubai Investment Park First,,Commercial
6823288,Dubai Investment Park First,352-0,2624,,,,,,1,4 B/R,,,,,,1089.34,5980174,Dubai Investment Park First,,Commercial
6823292,Dubai Investment Park First,352-0,2701,,,,,,2,4 B/R,,,,,,1293.18,5980174,Dubai Investment Park First,,Commercial
6823296,Dubai Investment Park First,352-0,2702,,,,,,2,4 B/R,,,,,,919.41,5980174,Dubai Investment Park First,,Commercial
6823300,Dubai Investment Park First,352-0,2703,,,,,,2,4 B/R,,,,,,1005.52,5980174,Dubai Investment Park First,,Commercial
6823304,Dubai Investment Park First,352-0,2704,,,,,,2,4 B/R,,,,,,874.03,5980174,Dubai Investment Park First,,Commercial
6823308,Dubai Investment Park First,352-0,2705,,,,,,2,4 B/R,,,,,,1133.14,5980174,Dubai Investment Park First,,Commercial
6823312,Dubai Investment Park First,352-0,2706,,,,,,2,4 B/R,,,,,,918.67,5980174,Dubai Investment Park First,,Commercial
6823316,Dubai Investment Park First,352-0,2707,,,,,,2,4 B/R,,,,,,781.42,5980174,Dubai Investment Park First,,Commercial
6823320,Dubai Investment Park First,352-0,2708,,,,,,2,4 B/R,,,,,,750.0,5980174,Dubai Investment Park First,,Commercial
6823324,Dubai Investment Park First,352-0,2709,,,,,,2,4 B/R,,,,,,750.0,5980174,Dubai Investment Park First,,Commercial
6823328,Dubai Investment Park First,352-0,2710,,,,,,2,4 B/R,,,,,,750.0,5980174,Dubai Investment Park First,,Commercial
6823332,Dubai Investment Park First,352-0,2802,,,,,,1,4 B/R,,,,,,1020.69,5980174,Dubai Investment Park First,,Commercial
6823336,Dubai Investment Park First,352-0,2803,,,,,,2,4 B/R,,,,,,910.07,5980174,Dubai Investment Park First,,Commercial
6823340,Dubai Investment Park First,352-0,2804,,,,,,2,4 B/R,,,,,,868.35,5980174,Dubai Investment Park First,,Commercial
6823344,Dubai Investment Park First,352-0,2805,,,,,,2,4 B/R,,,,,,986.95,5980174,Dubai Investment Park First,,Commercial
